SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewAdmin,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,0,0,AITKIN PUBLIC SCHOOL DISTRICT                     ,1,Aitkin                                            ,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,1,0,0,0,0,0,1,0,0,53,0,0,0,0,1,0
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,1,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,45,0,0,0,0,1,0
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,2,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,34,0,0,1,0,0,0
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,0,0,Totals                                            ,1,Aitkin                                            ,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,12,0,2,0,1,0,0,0,0,2,1,0,0,44,0,0,1,0,2,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,0,0,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,27,Hennepin                                          ,11,9,3,6,0,0,0,0,0,1,0,2,3,3,0,7,2,2,2,1,0,0,0,0,1,6,1,1,53,0,0,0,2,3,4
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,21,50,SPECIAL EDUCATION                                 ,27,Hennepin                                          ,11,5,0,5,0,0,0,0,0,0,0,0,0,5,0,8,2,1,2,0,0,0,0,0,3,2,0,0,46,0,0,0,2,2,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,1,0,0,56,0,0,0,0,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,1,53,0,0,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,105,10,BANCROFT ELEMENTARY                               ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,0,0,2,0,19,0,1,0,0,0,1,0,0,0,2,0,0,48,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,106,10,BARTON OPEN ELEMENTARY                            ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,0,1,1,0,9,1,0,1,0,0,0,0,0,0,2,0,0,42,0,0,0,2,0,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,107,10,BETHUNE ELEMENTARY                                ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,1,0,1,0,12,0,0,2,0,0,0,0,0,0,1,0,1,61,0,0,0,0,0,2
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,110,10,BURROUGHS ELEMENTARY                              ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,0,1,1,0,19,0,0,0,1,1,0,0,0,0,0,1,1,57,0,0,0,0,0,2
