Raw_Name	Name	Latitude	Longitude	City	State
test	test	23.0	343.0	Eau Claire	WI
little canada elementary	Little Canada Elementary School	45.0247445	-93.0830579	Little Canada	MN
attain	Attain	38.9264049	-77.2252982	McLean	VA
west st. paul-mendota hts.-eagan	Independent School District No 197	44.8873097	-93.1080258	Mendota Heights	MN
lakeville area learning center	Lakeville Area Learning Center	44.6463571	-93.24384119999999	Lakeville	MN
sonnesyn elementary	Sonnesyn Elementary School	45.0186685	-93.391055	New Hope	MN
oak hills elementary	Oak Hills Elementary School	44.70946	-93.2406986	Lakeville	MN
swmetro alc	SouthWest Metro Educational Cooperative	44.7843349	-93.5539376	Shakopee	MN
watertown-mayer middle	Watertown - Mayer Primary School	44.9676625	-93.8491875	Watertown	MN
st. james northside elementary	Northside Elementary School	43.990668	-94.621522	St James	MN
appleton elementary	Appleton Elementary School	39.1215711	-108.6154283	Grand Junction	CO
voyageurs expeditionary	Voyageurs Expeditionary High	47.5057543	-94.874945	Bemidji	MN
mastery school	Mastery Charter School-Pickett Campus	40.0319786	-75.18025329999999	Philadelphia	PA
vector low incidence north	Vector Transition Program	45.083106	-93.39375100000001	Minneapolis	MN
parkview elementary	Parkview Elementary School	44.7130207	-93.20299709999999	Rosemount	MN
lincoln senior high	Abraham Lincoln High School	34.0747088	-118.2036834	Los Angeles	CA
superior academy	Southeast Jeet Kune Do	33.519062	-82.11466399999999	Evans	GA
southwestern youth services	Southwestern Youth Services	34.637531	-99.335528	Altus	OK
madison-marietta-nassau elementary	Madison Elementary School	45.01277779999999	-96.1894444	West, Madison	MN
stonebridge world school	Stonebridge Community School	44.9205188	-93.28875269999999	Minneapolis	MN
scenic heights elementary	Scenic Heights School	44.9011696	-93.49419630000001	Minnetonka	MN
sun - richfield	Sun Current Newspapers	44.8656898	-93.4154413	Eden Prairie	MN
new york mills public school dist.	New York Mills Elementary School	46.5221726	-95.37844830000002	New York Mills	MN
sauk centre secondary	Sauk Centre Public Schools	45.729167	-94.94277799999999	Sauk Centre	MN
mora alternative learning center	Mora Alternative Education	45.8786609	-93.2924675	Mora	MN
bluff view elementary	Bluff View Elementary School	44.436887	-92.275041	Lake City	MN
jonathan elementary	Jonathan Elementary School	36.8454966	-88.2180552	Benton	KY
hastings high school	Hastings High School	44.74430929999999	-92.89076949999999	Hastings	MN
ramsey middle school	Ramsey Middle School	38.14922539999999	-85.5461969	Louisville	KY
